                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.4176,                 0.8527,                 1.3193,                0.74877,                0.76208,                0.78635,                0.45111,                 1.6848,                 1.0051,                 1.7773,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.4235,                0.86009,                 1.3448,                0.71357,                0.76952,                0.77813,                0.43143,                  1.707,                  1.022,                 1.8035,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4115,                0.85586,                 1.3056,                0.76074,                0.75646,                0.78761,                0.44473,                 1.6785,                0.99476,                 1.7896,               0.000416,               0.000416,               0.000416
                     83,                 1.3906,                0.83514,                 1.3045,                0.77202,                 0.7721,                0.80374,                 0.4528,                 1.7035,                 0.9757,                 1.7976,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3944,                0.85496,                 1.3051,                0.76338,                0.75959,                0.78755,                0.44429,                  1.706,                0.98599,                 1.8207,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.3811,                0.83928,                 1.3046,                 0.7555,                0.76456,                0.79004,                 0.4435,                 1.6992,                 1.0113,                 1.8016,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4062,                0.84743,                 1.3285,                0.76407,                0.75093,                0.78619,                  0.441,                 1.7101,                  1.004,                 1.8107,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3873,                 0.8332,                 1.3063,                 0.7576,                0.75465,                0.77965,                0.43793,                  1.695,                 1.0263,                 1.8064,               0.000317,               0.000317,               0.000317
                     88,                 1.3744,                0.82538,                 1.2941,                0.74815,                0.75341,                0.78651,                0.44802,                 1.6992,                0.99095,                 1.8227,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.3647,                0.82356,                 1.3047,                0.75079,                0.76156,                0.78698,                0.44495,                 1.6916,                0.99954,                 1.8068,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.3699,                0.83947,                 1.3131,                0.74124,                0.76704,                0.78673,                0.44969,                 1.7026,                0.98398,                 1.8269,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3564,                0.82742,                 1.3487,                0.75607,                0.75217,                0.79091,                0.44652,                 1.7075,                0.98065,                 1.8577,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.3291,                0.78361,                 1.3323,                0.76382,                0.74939,                0.78536,                 0.4428,                 1.7051,                 1.0069,                 1.8371,               0.000218,               0.000218,               0.000218
                     93,                 1.3171,                0.77818,                 1.3137,                0.76668,                0.77943,                0.80341,                0.45485,                 1.7021,                0.96603,                 1.8393,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3206,                0.77967,                 1.3299,                0.76264,                0.77695,                0.79869,                0.45322,                 1.6855,                0.97025,                 1.8266,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3059,                0.76877,                 1.3245,                0.75985,                0.77076,                0.79587,                0.44997,                 1.6846,                0.96113,                 1.8192,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3031,                0.76913,                 1.3229,                0.75512,                0.76704,                0.79691,                0.45375,                  1.701,                0.96749,                 1.8375,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3135,                0.75424,                 1.3264,                0.75618,                0.77819,                0.79281,                0.45322,                 1.6907,                0.96643,                  1.827,               0.000119,               0.000119,               0.000119
                     98,                 1.2935,                0.75066,                 1.3092,                0.75796,                0.76835,                0.79937,                0.45516,                 1.6807,                0.95458,                  1.805,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3081,                0.76295,                 1.3204,                0.76044,                0.76208,                0.80049,                0.45693,                 1.6791,                0.95041,                 1.8001,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3006,                0.75856,                 1.3177,                0.76192,                 0.7733,                0.79435,                0.45407,                 1.6821,                0.96669,                 1.8207,               5.96e-05,               5.96e-05,               5.96e-05
